rank,sku,slug,landing_url,product_name,image_source,qr_file,page_file
5,HP-CHILL3,hp-chill3,https://box.shopluvbuds.com/hp-chill3.html,"3"" Glass Chillum",catalog/scrape,qr-codes/HP-CHILL3.png,hp-chill3.html
8,HP-2.5P40G,hp-2.5p40g,https://box.shopluvbuds.com/hp-2.5p40g.html,"2.5"" Glass Hand Pipe",catalog/scrape,qr-codes/HP-2.5P40G.png,hp-2.5p40g.html
9,BT-350VV,bt-350vv,https://box.shopluvbuds.com/bt-350vv.html,350mAh Variable Voltage Battery,catalog/scrape,qr-codes/BT-350VV.png,bt-350vv.html
10,PFC-PROXYCOREKIT,pfc-proxycorekit,https://box.shopluvbuds.com/pfc-proxycorekit.html,"Puffco Proxy Core Kit, Onyx",catalog/scrape,qr-codes/PFC-PROXYCOREKIT.png,pfc-proxycorekit.html
11,OOZ-1453,ooz-1453,https://box.shopluvbuds.com/ooz-1453.html,Ooze HiLo Conceal 510 Battery,catalog/scrape,qr-codes/OOZ-1453.png,ooz-1453.html
13,BT-V985D,bt-v985d,https://box.shopluvbuds.com/bt-v985d.html,Pulsar 510 DL 5.0 Auto-Draw Battery,catalog/scrape,qr-codes/BT-V985D.png,bt-v985d.html
14,KA-WP-STEELCHILL13,ka-wp-steelchill13,https://box.shopluvbuds.com/ka-wp-steelchill13.html,"13"" Chill Stainless Steel Bong",local-file,qr-codes/KA-WP-STEELCHILL13.png,ka-wp-steelchill13.html
15,ZZUT48,zzut48,https://box.shopluvbuds.com/zzut48.html,"Zig-Zag Ultra Thin 1 1/4"" Rolling Papers",catalog/scrape,qr-codes/ZZUT48.png,zzut48.html
18,PFC-PEAKNEWBLK,pfc-peaknewblk,https://box.shopluvbuds.com/pfc-peaknewblk.html,"The New Puffco Peak, Onyx",catalog/scrape,qr-codes/PFC-PEAKNEWBLK.png,pfc-peaknewblk.html
24,BT-V1180D,bt-v1180d,https://box.shopluvbuds.com/bt-v1180d.html,"Pulsar 510 DL 5.0 Battery, Thermo Series",catalog/scrape,qr-codes/BT-V1180D.png,bt-v1180d.html
26,SE-BT-380VV-BX-24PK,se-bt-380vv-bx-24pk,https://box.shopluvbuds.com/se-bt-380vv-bx-24pk.html,SirEEL 380mAh Preheat Battery,catalog/scrape,qr-codes/SE-BT-380VV-BX-24PK.png,se-bt-380vv-bx-24pk.html
27,OOZ-1379,ooz-1379,https://box.shopluvbuds.com/ooz-1379.html,Ooze Smart Battery 650mAh,catalog/scrape,qr-codes/OOZ-1379.png,ooz-1379.html
32,CLIP-PROMO-HAZMAT,clip-promo-hazmat,https://box.shopluvbuds.com/clip-promo-hazmat.html,Clipper Large Lighter,local-file,qr-codes/CLIP-PROMO-HAZMAT.png,clip-promo-hazmat.html
